date,campaign,adset,ad,spend,impressions,reach,clicks,cpm,conversations,cpl
2025-06-28,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,19.05,312,295,7,61.057692,0,
2025-06-29,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,55.66,823,709,38,67.63062,12,4.64
2025-06-30,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,60.06,923,856,36,65.070423,11,5.46
2025-07-01,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,43.59,615,570,37,70.878049,11,3.96
2025-07-02,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,47.26,682,635,27,69.296188,0,
2025-07-03,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,36.74,388,367,13,94.690722,0,
2025-07-04,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Potansiyel Müşteriler Reklam Seti__Afrika _ Fransızca,0.33,5,5,0,66,0,
2025-07-04,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,55.46,609,579,23,91.067323,3,18.49
2025-07-05,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,50.24,472,440,24,106.440678,9,5.58
2025-07-06,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,59.51,479,460,15,124.237996,6,9.92
2025-07-07,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,47.94,464,441,12,103.318966,0,
2025-07-08,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,0.78,10,10,0,78,0,
2025-07-14,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,55.54,546,543,7,101.721612,0,
2025-07-15,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,84.68,696,657,27,121.666667,2,42.34
2025-07-16,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,58.62,500,471,15,117.24,3,19.54
2025-07-17,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,47.55,503,478,18,94.532803,6,7.92
2025-07-18,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,50.69,472,465,22,107.394068,6,8.45
2025-07-19,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,52.38,521,495,18,100.537428,3,17.46
2025-07-20,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,4.12,50,50,1,82.4,0,
2025-07-21,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,54.01,503,499,8,107.375746,0,
2025-07-22,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,73.05,727,686,11,100.481431,0,
2025-07-23,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,56.09,507,479,20,110.631164,0,
2025-07-24,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,62.00,455,444,15,136.263736,3,20.67
2025-07-25,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,54.03,393,366,16,137.480916,0,
2025-07-26,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,45.90,319,306,14,143.887147,0,
2025-07-27,Potansiyel Müşteri Kampanyası.01,Yeni Potansiyel Müşteriler Reklam Seti,Yeni Potansiyel Müşteriler Reklam Seti__Afrika _ İngilizce__Potansiyel Müşteriler,22.04,153,146,14,144.052288,6,3.67
